id_actividad,id_pais,id_ccaa,id_provincia,año,mes,categoria,producto,subcategoria,comunidad_autonoma,provincia,gasto_total_promedio,precio_medio_entrada_promedio,valoracion_por_categoria_promedio,valoracion_general_promedio,total_opiniones_categoria_promedio,hay_valoracion
144,ES,02,44,2023,7,vida nocturna,espectaculos,musica,aragon,teruel,62036.5,2380.0,4.35,4.28,950,True
145,ES,02,50,2023,7,vida nocturna,espectaculos,musica,aragon,zaragoza,291533.0,1505.71,3.75,4.21,1614,True
146,ES,05,35,2023,7,vida nocturna,espectaculos,musica,canarias,las palmas,373714.14,736.71,4.24,4.28,129544,True
147,ES,05,38,2023,7,vida nocturna,espectaculos,musica,canarias,santa cruz de tenerife,290672.38,1547.69,4.06,4.26,62671,True
148,ES,06,39,2023,7,vida nocturna,espectaculos,musica,cantabria,cantabria,56899.0,2590.67,4.02,4.27,5819,True
149,ES,08,02,2023,7,vida nocturna,espectaculos,musica,castilla - la mancha,albacete,55484.5,400.5,4.21,4.15,573,True
150,ES,08,13,2023,7,vida nocturna,espectaculos,musica,castilla - la mancha,ciudad real,222238.33,1388.33,4.17,4.29,385,True
151,ES,08,16,2023,7,vida nocturna,espectaculos,musica,castilla - la mancha,cuenca,651227.0,2351.0,3.91,4.19,760,True
152,ES,08,19,2023,7,vida nocturna,espectaculos,musica,castilla - la mancha,guadalajara,129619.33,867.67,3.23,4.04,447,True
153,ES,08,45,2023,7,vida nocturna,espectaculos,musica,castilla - la mancha,toledo,73905.0,5685.0,3.99,4.18,434,True
154,ES,07,05,2023,7,vida nocturna,espectaculos,musica,castilla y leon,avila,126616.0,2261.0,4.04,4.23,397,True
155,ES,07,09,2023,7,vida nocturna,espectaculos,musica,castilla y leon,burgos,150628.4,1190.8,3.95,4.28,970,True
156,ES,07,24,2023,7,vida nocturna,espectaculos,musica,castilla y leon,leon,134013.0,1441.0,3.97,4.21,1480,True
157,ES,07,37,2023,7,vida nocturna,espectaculos,musica,castilla y leon,salamanca,14057735.0,1103.0,3.66,4.17,3701,True
158,ES,07,40,2023,7,vida nocturna,espectaculos,musica,castilla y leon,segovia,310.0,155.0,3.91,4.07,263,True
159,ES,07,42,2023,7,vida nocturna,espectaculos,musica,castilla y leon,soria,3410.0,110.0,4.2,3.97,154,True
160,ES,07,47,2023,7,vida nocturna,espectaculos,musica,castilla y leon,valladolid,887112.67,2778.67,4.01,4.06,1293,True
