AÑO;MES;CCAA;TIPO_VIVIENDA;VIVIENDAS_TURISTICAS;PLAZAS;VALORACIONES;PLAZAS_POR_VIVIENDA_TURISTICA;PORCENTAJE_VIVIENDAS_TURISTICAS;PRECIO
2023;6;Canarias;Apartamento;1003;3354;4,72;3,34;0,09;135,21
2023;6;Canarias;Casa entera;42040;190179;4,71;4,52;3,86;246,47
2023;6;Canarias;Habitación compartida;189;556;4,72;2,94;0,02;52,2
2023;6;Canarias;Habitación privada;3142;8028;4,7;2,56;0,29;108,36
2023;6;Canarias;No aplica;0;0;;;0,0;
2023;6;Canarias;Otros;10;14;4,78;1,4;0,0;92,5
2023;6;Cantabria;Alternativo;194;930;4,76;4,79;0,05;218,91
2023;6;Cantabria;Apartamento;198;721;4,71;3,64;0,05;480,41
2023;6;Cantabria;Casa entera;6276;33554;4,68;5,35;1,64;283,24
2023;6;Cantabria;Habitación compartida;8;49;4,7;6,13;0,0;47,63
2023;6;Cantabria;Habitación privada;857;2327;4,72;2,72;0,22;128,42
2023;6;Cantabria;No aplica;0;0;;;0,0;
2023;6;Cantabria;Otros;1;14;4,9;14,0;0,0;300,0
2023;6;Castilla - La Mancha;Alternativo;173;791;4,71;4,57;0,01;196,61
2023;6;Castilla - La Mancha;Apartamento;140;546;4,73;3,9;0,01;148,41
2023;6;Castilla - La Mancha;Casa entera;3600;23477;4,43;6,52;0,27;224,2
2023;6;Castilla - La Mancha;Habitación compartida;2;8;4,88;4,0;0,0;135,0
2023;6;Castilla - La Mancha;Habitación privada;726;2405;4,49;3,31;0,06;110,13
2023;6;Castilla - La Mancha;No aplica;0;0;;;0,0;
2023;6;Castilla - La Mancha;Otros;1;4;4,76;4,0;0,0;168,0
2023;6;Castilla y León;Alternativo;118;510;4,76;4,32;0,01;175,87
2023;6;Castilla y León;Apartamento;193;727;4,74;3,77;0,01;117,86
2023;6;Castilla y León;Casa entera;6095;37695;4,51;6,18;0,35;199,94
2023;6;Castilla y León;Habitación compartida;11;35;4,74;3,18;0,0;34,27
2023;6;Castilla y León;Habitación privada;1026;3212;4,66;3,13;0,06;80,81
2023;6;Castilla y León;No aplica;0;0;;;0,0;
2023;6;Castilla y León;Otros;5;14;4,66;2,8;0,0;95,0
2023;6;Cataluña;Alternativo;757;3603;4,68;4,76;0,02;204,46
2023;6;Cataluña;Apartamento;1170;4964;4,64;4,24;0,03;174,62
2023;6;Cataluña;Casa entera;46653;272212;4,58;5,83;1,19;321,45
2023;6;Cataluña;Habitación compartida;44;128;4,43;2,91;0,0;50,09
2023;6;Cataluña;Habitación privada;6276;17377;4,62;2,77;0,16;109,51
2023;6;Cataluña;No aplica;0;0;;;0,0;
2023;6;Cataluña;Otros;5;5;4,64;1,0;0,0;214,4
2023;6;Ceuta;Alternativo;1;5;4,31;5,0;0,0;81,0
2023;6;Ceuta;Casa entera;35;142;3,07;4,06;0,12;820,14
2023;6;Ceuta;Habitación privada;9;33;3,81;3,67;0,03;59,78
2023;6;Ceuta;No aplica;0;0;;;0,0;
