id_ccaa,id_provincia,mes,temporada_cod,categoria_cod,subcategoria_cod,valoracion_general_promedio,valoracion_por_categoria_promedio,log_opiniones,log_precio
16,1,1,1,6,9,4.41,3.82,7.037905963447182,6.392469724494053
16,48,1,1,6,9,4.31,4.21,8.633374945705647,6.870717780879573
16,20,1,1,6,9,4.41,4.14,8.61323037961318,6.76646817413776
3,33,1,1,6,9,4.35,4.18,9.172326929777967,7.212294468500341
14,30,1,1,6,9,4.2,3.62,7.305860032684009,6.663451929832301
1,4,1,1,6,10,4.19,3.72,8.587278798982926,6.197115999797643
1,11,1,1,6,10,4.26,4.08,7.759614150696903,7.333023014386481
1,14,1,1,6,10,4.29,4.3,7.554334823725748,7.585788821732034
1,18,1,1,6,10,4.37,3.92,9.296609807128359,7.13289683295902
1,29,1,1,6,10,4.43,4.3,10.933767465827414,6.095081042846788
1,41,1,1,6,10,4.34,4.05,10.572700582800442,6.870053411798126
2,50,1,1,6,10,4.21,3.75,7.387090235656757,6.8073823048353495
5,35,1,1,6,10,4.28,4.24,11.771783590108432,6.343880434126331
5,38,1,1,6,10,4.26,4.06,11.045670055905612,6.49299712396238
6,39,1,1,6,10,4.27,4.02,8.669055540725484,5.3981627015177525
8,2,1,1,6,10,4.15,4.21,6.352629396319567,7.335959874059791
8,45,1,1,6,10,4.18,3.99,6.075346031088684,3.9318256327243257
7,24,1,1,6,10,4.21,3.97,7.300472814267799,5.62040086571715
7,37,1,1,6,10,4.17,3.66,8.216628493133443,7.516977224604321
7,47,1,1,6,10,4.06,4.01,7.165493475060845,6.770215864960075
9,8,1,1,6,10,4.05,3.95,11.693111409633762,6.618738983517219
9,17,1,1,6,10,4.24,3.8,9.46164368908425,6.059893926529762
9,25,1,1,6,10,4.27,3.84,7.077498053569231,6.20050917404269
13,28,1,1,6,10,4.1,3.85,11.51722620352192,6.225963382460326
15,31,1,1,6,10,4.23,3.72,7.850103545175582,7.251344983372214
10,3,1,1,6,10,4.28,4.03,11.343204190152012,6.667719859997709
10,46,1,1,6,10,4.15,3.72,9.138629524422182,6.9301721332661375
11,6,1,1,6,10,4.29,4.31,7.6544432264701125,6.961296045910167
11,10,1,1,6,10,4.33,3.95,7.228388451573604,7.313886831633462
12,15,1,1,6,10,4.21,3.74,8.640118538253535,6.583409222158765
12,32,1,1,6,10,4.15,3.7,6.493753839851686,5.3981627015177525
12,36,1,1,6,10,4.17,4.0,8.03689677268507,6.219595639933231
4,7,1,1,6,10,4.33,4.12,11.715482561876033,6.969226601070238
17,26,1,1,6,10,4.31,3.69,7.532088143541722,7.360103972989152
3,33,1,1,6,10,4.35,4.18,9.172326929777967,6.903245123504251
14,30,1,1,6,10,4.2,3.62,7.305860032684009,6.672349351095727
1,4,2,1,3,0,4.19,4.32,10.059507911994038,7.1681946150400435
1,11,2,1,3,0,4.26,4.27,9.421492310438014,7.612994060595474
1,14,2,1,3,0,4.29,4.32,8.234299635696253,6.403574197934815
1,18,2,1,3,0,4.37,4.52,9.825147561084876,7.394738928262557
1,23,2,1,3,0,4.33,4.44,8.381831553485561,5.602118820879701
1,29,2,1,3,0,4.43,4.44,11.605039633877407,6.3448816901714045
1,41,2,1,3,0,4.34,4.47,9.974737874064294,7.2966844184502015
2,22,2,1,3,0,4.25,4.56,9.766865674993165,5.978885764901122
2,50,2,1,3,0,4.21,4.36,8.68084148294457,6.654152520183219
5,35,2,1,3,0,4.28,4.34,12.207965852282786,4.90527477843843
5,38,2,1,3,0,4.26,4.31,12.15513718185042,5.788123623089952
6,39,2,1,3,0,4.27,4.36,10.543945728315652,5.532084289499378
8,2,2,1,3,0,4.15,4.38,8.061486866871327,6.09807428216624
8,45,2,1,3,0,4.18,4.16,7.447751280047908,7.424016105238067
7,5,2,1,3,0,4.23,4.56,7.536363938404511,6.920671504248683
7,24,2,1,3,0,4.21,4.52,8.413387022690648,7.356279876550748
7,37,2,1,3,0,4.17,4.39,8.107720061910534,7.580699752224563
7,42,2,1,3,0,3.97,4.14,7.934871565945177,7.238496840894365
7,47,2,1,3,0,4.06,4.18,9.070733417589766,6.524149505226866
7,49,2,1,3,0,4.17,4.38,7.6577552711348655,5.5134287461649825
9,8,2,1,3,0,4.05,4.13,12.20829517388327,7.37866474783127
9,17,2,1,3,0,4.24,4.38,11.029779856977546,5.988234335587697
9,43,2,1,3,0,4.2,4.26,10.425312461760488,7.57082977528579
13,28,2,1,3,0,4.1,4.19,11.71010279299617,6.6163596531517035
15,31,2,1,3,0,4.23,4.33,8.854807632616227,8.061329125724221
10,3,2,1,3,0,4.28,4.36,11.319644067939931,6.79821939191383
10,46,2,1,3,0,4.15,4.23,11.416161228537758,6.5362132223185325
11,6,2,1,3,0,4.29,4.4,7.018401799069201,5.998117367938082
11,10,2,1,3,0,4.33,4.5,8.668196064952765,6.690220966432438
12,15,2,1,3,0,4.21,4.39,9.85087760226383,6.498282149476434
12,27,2,1,3,0,4.28,4.57,8.998384010052538,6.792344427470809
4,7,2,1,3,0,4.33,4.42,12.22409427602797,6.888368565181947
16,1,2,1,3,0,4.41,4.66,9.347403022364523,5.757007235893499
16,48,2,1,3,0,4.31,4.38,8.97790377375038,8.315524887396991
16,20,2,1,3,0,4.41,4.61,10.202739930102645,5.510399970502822
3,33,2,1,3,0,4.35,4.42,10.692103991155873,6.97166860472579
14,30,2,1,3,0,4.2,4.4,7.876258882303226,6.1070228877422545
1,11,2,1,5,4,4.26,4.74,3.6888794541139363,6.460686621018898
1,29,2,1,5,4,4.43,4.62,10.857054801145617,7.178293735830708
1,41,2,1,5,4,4.34,4.06,8.48879371689454,4.836281906951478
2,50,2,1,5,4,4.21,4.05,4.127134385045092,7.988882253309227
5,35,2,1,5,4,4.28,3.72,7.9599745280805365,6.529900474081888
5,38,2,1,5,4,4.26,3.86,8.230577217146454,8.164700916480406
6,39,2,1,5,4,4.27,3.94,8.492490578775866,7.170888478512505
7,47,2,1,5,4,4.06,2.7,5.680172609017068,6.030685260261263
9,8,2,1,5,4,4.05,4.03,11.982529014194624,7.265821254987008
9,17,2,1,5,4,4.24,3.82,7.044905117129371,7.366021544081429
