id_provincia,mes,categoria,precio_mediano_n1
18,11,vida nocturna,1081.32
18,12,comida y bebida,537.0
18,12,paisaje naturaleza,2430.43
18,12,paisaje urbano,968.0450000000001
18,12,servicios,2888.5
18,12,vida nocturna,901.435
19,1,vida nocturna,1503.5
19,2,paisaje naturaleza,1102.5
19,2,vida nocturna,1519.0
19,3,paisaje naturaleza,1875.0
19,3,vida nocturna,1457.67
19,4,paisaje naturaleza,85.5
19,5,paisaje naturaleza,61.5
19,5,vida nocturna,871.0
19,6,paisaje urbano,747.25
19,6,vida nocturna,529.0
19,7,paisaje naturaleza,313.0
19,7,paisaje urbano,197.67
19,7,vida nocturna,1121.25
19,8,vida nocturna,2757.0
19,9,vida nocturna,976.4
19,10,paisaje naturaleza,2534.0
19,11,comida y bebida,619.0
19,11,paisaje naturaleza,784.5
19,11,paisaje urbano,366.75
19,11,vida nocturna,946.0
19,12,comida y bebida,604.0
19,12,paisaje naturaleza,937.67
19,12,paisaje urbano,343.4
20,1,paisaje naturaleza,837.0
20,1,vida nocturna,613.955
20,2,paisaje naturaleza,246.25
20,2,paisaje urbano,663.38
20,2,vida nocturna,750.28
20,3,paisaje naturaleza,434.75
20,3,paisaje urbano,582.73
20,3,servicios,475.0
20,3,vida nocturna,351.0
20,4,paisaje naturaleza,1417.25
20,4,paisaje urbano,513.27
20,4,servicios,1163.75
20,4,vida nocturna,497.0
20,5,paisaje naturaleza,1508.2350000000001
20,5,servicios,769.25
20,5,vida nocturna,1144.82
20,6,paisaje naturaleza,1281.875
20,6,paisaje urbano,575.2
20,6,vida nocturna,774.21
20,7,paisaje naturaleza,578.5
20,7,paisaje urbano,823.57
20,7,servicios,275.0
20,7,vida nocturna,1346.3
20,8,paisaje naturaleza,1129.375
20,8,paisaje urbano,1165.0
20,8,servicios,475.0
20,8,vida nocturna,673.67
20,9,comida y bebida,1037.0
20,9,servicios,1522.0
20,10,paisaje naturaleza,1016.085
20,10,paisaje urbano,532.17
20,10,servicios,744.0
20,10,vida nocturna,1043.46
20,11,paisaje naturaleza,1522.365
20,11,paisaje urbano,808.68
20,11,servicios,1728.25
20,11,vida nocturna,842.08
20,12,otros,952.0
20,12,paisaje naturaleza,1730.165
20,12,paisaje urbano,568.93
20,12,servicios,506.5
20,12,vida nocturna,1158.28
21,1,paisaje naturaleza,499.0
21,1,paisaje urbano,499.0
21,2,paisaje urbano,119.0
21,2,vida nocturna,422.0
21,3,vida nocturna,441.33
21,4,vida nocturna,1506.0
21,5,vida nocturna,1831.0
